Region,WRI,Exposure,Vulnerability,Susceptibility,Lack of Coping Capabilities, Lack of Adaptive Capacities,year,Continent,,,Region_1,year_1,Attribute,Value
Panama,7.49,16.45,45.5,27.97,67.15,41.37,2013,1,,,Mozambique,2011,Lack of Adaptive Capacities,61.52
Zambia,7.46,11.37,65.67,62.94,80.38,53.68,2013,0,,,Mauritania,2011,WRI,9.7
Rwanda,7.43,11.98,62.01,55.98,79.15,50.91,2013,0,,,Mauritania,2011,Exposure,14.57
Ethiopia,7.38,11.12,66.37,57.24,80.05,61.82,2013,0,,,Mauritania,2011,Vulnerability,66.59
Greece,7.36,21.11,34.88,16.89,52.01,35.74,2013,3,,,Mauritania,2011,Susceptibility,49
Tajikistan,7.35,12.98,56.64,35.61,76.96,57.35,2013,2,,,Mauritania,2011,Lack of Coping Capabilities,85.79
Pakistan,7.21,11.36,63.45,37.69,86.72,65.94,2013,2,,,Mauritania,2011,Lack of Adaptive Capacities,64.99
India,7.17,11.94,60.06,39.31,80.31,60.55,2013,2,,,Zimbabwe,2011,WRI,9.63
Morocco,7.13,13.25,53.8,28.97,75.82,56.61,2013,0,,,Zimbabwe,2011,Exposure,14.3
Lesotho,7.09,11.4,62.24,50.97,79.35,56.39,2013,0,,,Zimbabwe,2011,Vulnerability,67.33
Peru,7.08,14.4,49.17,29.48,73.97,44.06,2013,1,,,Zimbabwe,2011,Susceptibility,55.7
Kenya,7.02,10.69,65.73,55.94,85.4,55.85,2013,0,,,Zimbabwe,2011,Lack of Coping Capabilities,89.03
Armenia,6.97,14.51,48.04,21.47,71.29,51.36,2013,2,,,Zimbabwe,2011,Lack of Adaptive Capacities,57.26
China,6.91,14.43,47.87,27.93,70.03,45.64,2013,2,,,Guinea,2011,WRI,9.49
Colombia,6.9,13.84,49.9,28.97,78.33,42.41,2013,1,,,Guinea,2011,Exposure,13.35
Georgia,6.83,14.69,46.54,27.37,63.89,48.36,2013,2,,,Guinea,2011,Vulnerability,71.13
Uganda,6.69,10.16,65.82,56.38,87,54.09,2013,0,,,Guinea,2011,Susceptibility,58.49
Belize,6.62,13.31,49.7,28.1,74.23,46.76,2013,1,,,Guinea,2011,Lack of Coping Capabilities,92.13
Romania,6.61,15.77,41.95,21.84,61.31,42.71,2013,3,,,Guinea,2011,Lack of Adaptive Capacities,62.79
Turkmenistan,6.57,13.19,49.83,25.98,75.8,47.71,2013,2,,,Cabo Verde,2011,WRI,9.47
Central African Rep.,6.57,9.39,69.98,60.01,88.62,61.32,2013,0,,,Cabo Verde,2011,Exposure,17.25
Cuba,6.51,17.45,37.33,19.15,57.04,35.79,2013,1,,,Cabo Verde,2011,Vulnerability,54.86
Angola,6.48,10.18,63.68,54.2,84.73,52.12,2013,0,,,Cabo Verde,2011,Susceptibility,39.52
Malaysia,6.45,14.6,44.18,20.6,68.35,43.57,2013,2,,,Cabo Verde,2011,Lack of Coping Capabilities,76.86
Bosnia and Herz.,6.42,14.02,45.78,19.33,69.88,48.13,2013,1,,,Cabo Verde,2011,Lack of Adaptive Capacities,48.2
Mexico,6.39,13.84,46.17,23.05,72.32,43.14,2013,1,,,Uzbekistan,2011,WRI,9.37
Eritrea,6.35,8.55,74.23,62.68,87.44,72.57,2013,0,,,Uzbekistan,2011,Exposure,17.28
Thailand,6.34,13.7,46.26,20.71,75.53,42.53,2013,2,,,Uzbekistan,2011,Vulnerability,54.25
Azerbaijan,6.28,13.16,47.72,22.94,71.16,49.06,2013,2,,,Uzbekistan,2011,Susceptibility,33.17
North Macedonia,6.19,14.38,43.01,20.59,64.7,43.75,2013,3,,,Uzbekistan,2011,Lack of Coping Capabilities,77.07
Venezuela,6.16,13.15,46.85,23.5,74.84,42.22,2013,4,,,Uzbekistan,2011,Lack of Adaptive Capacities,52.51
Yemen,6.03,9.04,66.67,48.4,89.5,62.12,2013,2,,,Ghana,2011,WRI,9.35
Gabon,5.93,11.95,49.63,33.03,74.61,41.24,2013,0,,,Ghana,2011,Exposure,15.67
Tunisia,5.9,12.45,47.37,22.53,72.08,47.5,2013,0,,,Ghana,2011,Vulnerability,59.66
South Africa,5.8,12.08,48.07,29.52,69.25,45.44,2013,0,,,Ghana,2011,Susceptibility,48.25
Laos,5.71,9.55,59.86,42.29,86.17,51.13,2013,2,,,Ghana,2011,Lack of Coping Capabilities,77.1
Hungary,5.69,15.61,36.43,16.08,52.19,41.01,2013,3,,,Ghana,2011,Lack of Adaptive Capacities,53.63
Namibia,5.68,10.41,54.56,45.84,71.12,46.72,2013,0,,,Suriname,2011,WRI,9.25
Syria,5.67,10.56,53.74,25.65,81.8,53.77,2013,3,,,Suriname,2011,Exposure,19.52
Nepal,5.53,9.16,60.43,43.56,81.51,56.23,2013,2,,,Suriname,2011,Vulnerability,47.4
Turkey,5.52,12.25,45.06,19.38,67.94,47.88,2013,2,,,Suriname,2011,Susceptibility,28.84
Botswana,5.37,10.55,50.83,36.38,67.56,48.55,2013,0,,,Suriname,2011,Lack of Coping Capabilities,73.82
Bolivia,5.08,8.98,56.64,43.58,78.76,47.6,2013,2,,,Suriname,2011,Lack of Adaptive Capacities,39.53
Lebanon,5.05,11.14,45.35,20.18,68.69,47.17,2013,2,,,Sudan,2011,WRI,9.25
Moldova,5.05,11.11,45.45,23.32,66.49,46.54,2013,4,,,Sudan,2011,Exposure,13.71
South Korea,4.94,14.89,33.19,14.34,47.05,38.18,2013,1,,,Sudan,2011,Vulnerability,67.44
Iran,4.92,10.19,48.25,18.4,79.08,47.26,2013,2,,,Sudan,2011,Susceptibility,51.62
Jordan,4.88,10.53,46.33,24.05,67.95,47,2013,2,,,Sudan,2011,Lack of Coping Capabilities,90.9
Italy,4.88,13.85,35.22,16.11,56.07,33.49,2013,3,,,Sudan,2011,Lack of Adaptive Capacities,59.8
Iraq,4.83,8.08,59.79,34.31,88.92,56.14,2013,2,,,Liberia,2011,WRI,9.2
Ireland,4.69,14.74,31.85,15.19,46.26,34.1,2013,3,,,Liberia,2011,Exposure,12.71
New Zealand,4.69,15.44,30.38,16.13,44.57,30.46,2013,4,,,Liberia,2011,Vulnerability,72.33
Australia,4.51,15.05,29.99,14.36,40.84,34.76,2013,4,,,Liberia,2011,Susceptibility,67.59
Samoa,4.51,9.1,49.58,27.77,73.12,47.84,2013,4,,,Liberia,2011,Lack of Coping Capabilities,86.37
Eq. Guinea,4.49,8.22,54.62,29.25,84.89,49.72,2013,1,,,Liberia,2011,Lack of Adaptive Capacities,63.02
Bulgaria,4.43,11.66,38.03,16.85,56.81,40.42,2013,3,,,Nigeria,2011,WRI,9.03
Brazil,4.26,9.53,44.73,25.45,67.04,41.71,2013,1,,,Nigeria,2011,Exposure,13.41
Croatia,4.24,11.53,36.81,17.27,57.36,35.79,2013,3,,,Nigeria,2011,Vulnerability,67.37
Uruguay,4.09,11.1,36.84,20.57,50.87,39.09,2013,1,,,Nigeria,2011,Susceptibility,54.94
Bahamas,3.99,10.71,37.26,16.79,53.28,41.73,2013,1,,,Nigeria,2011,Lack of Coping Capabilities,86.93
United States of America,3.99,12.25,32.57,16.76,48.78,32.17,2013,3,,,Nigeria,2011,Lack of Adaptive Capacities,60.24
Libya,3.93,7.8,50.39,24.48,75.26,51.42,2013,0,,,Côte d'Ivoire,2011,WRI,9.03
Paraguay,3.85,7.03,54.71,35.02,78.72,50.4,2013,1,,,Côte d'Ivoire,2011,Exposure,14.5
Kazakhstan,3.84,9.11,42.2,18.5,62.3,45.81,2013,2,,,Côte d'Ivoire,2011,Vulnerability,62.27
Portugal,3.8,10.93,34.77,17.27,48.51,38.52,2013,3,,,Côte d'Ivoire,2011,Susceptibility,48.39
Austria,3.8,13.6,27.93,13.57,37.63,32.61,2013,3,,,Côte d'Ivoire,2011,Lack of Coping Capabilities,77.24
Russia,3.78,9.38,40.34,21.12,58.8,41.09,2013,3,,,Côte d'Ivoire,2011,Lack of Adaptive Capacities,61.19
Argentina,3.76,9.55,39.38,22.7,59.81,35.65,2013,1,,,Guyana,2011,WRI,9.02
United Kingdom,3.71,11.6,32,15.71,47.88,32.4,2013,2,,,Guyana,2011,Exposure,17.85
Kuwait,3.7,9.04,40.9,12.48,66.1,44.13,2013,2,,,Guyana,2011,Vulnerability,50.55
Slovenia,3.69,11.59,31.8,14.41,50.51,30.48,2013,3,,,Guyana,2011,Susceptibility,29.57
Slovakia,3.63,10.21,35.59,13.85,55.81,37.09,2013,3,,,Guyana,2011,Lack of Coping Capabilities,76.9
Czechia,3.61,10.82,33.4,14.46,50.15,35.61,2013,3,,,Guyana,2011,Lack of Adaptive Capacities,45.18
Latvia,3.48,9.26,37.57,20.68,57.44,34.59,2013,3,,,Malawi,2011,WRI,8.99
Poland,3.46,9.79,35.35,17.19,54.43,34.44,2013,3,,,Malawi,2011,Exposure,13.73
Belgium,3.42,11.66,29.35,14.98,41.05,32.01,2013,3,,,Malawi,2011,Vulnerability,65.48
Spain,3.38,10.23,33,15.25,49.68,34.08,2013,3,,,Malawi,2011,Susceptibility,56.63
São Tomé and Principe,3.35,5.81,57.71,46.09,75.04,51.99,2013,0,,,Malawi,2011,Lack of Coping Capabilities,86.05
Belarus,3.31,8.46,39.17,16.76,61.4,39.34,2013,3,,,Malawi,2011,Lack of Adaptive Capacities,53.76
Germany,3.24,11.41,28.39,14.56,38.09,32.52,2013,3,,,Ecuador,2011,WRI,8.69
Canada,3.18,10.25,31.02,14.34,45.37,33.35,2013,1,,,Ecuador,2011,Exposure,18.13
Lithuania,3.18,8.88,35.78,19.98,51.66,35.72,2013,3,,,Ecuador,2011,Vulnerability,47.97
Ukraine,3.14,7.5,41.92,19.21,61.55,45,2013,3,,,Ecuador,2011,Susceptibility,27.63
Mongolia,3.1,6.52,47.6,33.62,65.35,43.82,2013,2,,,Ecuador,2011,Lack of Coping Capabilities,76.94
Denmark,3.1,10.87,28.54,14.37,39.91,31.34,2013,3,,,Ecuador,2011,Lack of Adaptive Capacities,39.35
France,2.79,9.25,30.11,15.45,42.74,32.13,2013,3,,,Rwanda,2011,WRI,8.68
Cyprus,2.77,7.44,37.25,13.95,56.27,41.54,2013,2,,,Rwanda,2011,Exposure,13.72
Oman,2.74,6.41,42.68,17.52,63.74,46.78,2013,2,,,Rwanda,2011,Vulnerability,63.32
Luxembourg,2.68,9.12,29.33,11.58,41.98,34.44,2013,3,,,Rwanda,2011,Susceptibility,59
Switzerland,2.61,9.56,27.3,13.86,37.75,30.29,2013,3,,,Rwanda,2011,Lack of Coping Capabilities,83.11
Seychellen,2.58,5.99,43.14,20.74,63.06,45.62,2013,3,,,Rwanda,2011,Lack of Adaptive Capacities,47.84
Estonia,2.52,7.23,34.81,17.84,52.24,34.35,2013,3,,,Tanzania,2011,WRI,8.64
Singapore,2.49,7.82,31.84,14.01,48.47,33.04,2013,2,,,Tanzania,2011,Exposure,12.91
Israel,2.49,6.41,38.89,18.61,59.87,38.19,2013,2,,,Tanzania,2011,Vulnerability,66.97
Norway,2.35,8.58,27.38,13.74,39.78,28.62,2013,3,,,Tanzania,2011,Susceptibility,65.43
Egypt,2.34,4.72,49.51,21.99,76.47,50.07,2013,0,,,Tanzania,2011,Lack of Coping Capabilities,83.03
Finland,2.28,8.19,27.8,14.82,39.13,29.44,2013,3,,,Tanzania,2011,Lack of Adaptive Capacities,52.46
Sweden,2.26,7.97,28.4,14.39,41.38,29.44,2013,3,,,Myanmar,2011,WRI,8.54
United Arab Emirates,2.1,5.93,35.47,10.54,56.14,39.74,2013,2,,,Myanmar,2011,Exposure,14.47
Bahrain,1.81,4.27,42.37,13.91,64.81,48.39,2013,2,,,Myanmar,2011,Vulnerability,59.02
Kiribati,1.78,3.05,58.48,42.9,82.49,50.06,2013,4,,,Myanmar,2011,Susceptibility,41.67
Iceland,1.55,5.67,27.35,14.34,40.19,27.52,2013,3,,,Myanmar,2011,Lack of Coping Capabilities,79.75
Grenada,1.44,3.13,46.18,24.76,69.12,44.65,2013,1,,,Myanmar,2011,Lack of Adaptive Capacities,55.62
Saudi Arabia,1.32,2.93,44.83,17.73,70.53,46.24,2013,2,,,Kyrgyzstan,2011,WRI,8.48
Barbados,1.16,3.46,33.4,15.2,49.91,35.1,2013,1,,,Kyrgyzstan,2011,Exposure,17.09
Malta,0.61,1.65,37.01,14.36,53.13,43.55,2013,3,,,Kyrgyzstan,2011,Vulnerability,49.63
Qatar,0.1,0.28,36.46,9.5,56.15,43.73,2013,2,,,Kyrgyzstan,2011,Susceptibility,28.29
Vanuatu,36.72,63.66,57.68,35.69,81.16,56.2,2015,4,,,Kyrgyzstan,2011,Lack of Coping Capabilities,76.16
Tonga,28.45,55.27,51.47,28.78,81.8,43.82,2015,4,,,Kyrgyzstan,2011,Lack of Adaptive Capacities,44.43
Philippines,27.98,52.46,53.33,32,80.06,47.94,2015,2,,,Zambia,2011,WRI,8.41
Guatemala,20.1,36.3,55.36,34.52,80.08,51.48,2015,1,,,Zambia,2011,Exposure,12.89
Solomon Is.,19.29,29.98,64.34,44.55,85.66,62.82,2015,3,,,Zambia,2011,Vulnerability,65.27
Bangladesh,19.26,31.7,60.76,39.05,86.55,56.69,2015,2,,,Zambia,2011,Susceptibility,61.63
Costa Rica,17.17,42.61,40.29,21.6,64.34,34.94,2015,1,,,Zambia,2011,Lack of Coping Capabilities,81.72
Cambodia,16.82,27.65,60.84,39.5,86.95,56.07,2015,2,,,Zambia,2011,Lack of Adaptive Capacities,52.47
Papua New Guinea,16.82,24.94,67.46,55.29,84.07,63.02,2015,4,,,Ethiopia,2011,WRI,8.27
El Salvador,16.8,32.6,51.53,29.83,74.9,49.85,2015,1,,,Ethiopia,2011,Exposure,11.64
Timor-Leste,16.23,25.73,63.09,51.31,81.46,56.48,2015,2,,,Ethiopia,2011,Vulnerability,71.05
Brunei,16.15,41.1,39.28,17.76,63.28,36.8,2015,0,,,Ethiopia,2011,Susceptibility,63.11
Mauritius,14.66,37.35,39.25,18.24,61.53,37.98,2015,0,,,Ethiopia,2011,Lack of Coping Capabilities,87.11
Nicaragua,14.63,27.23,53.75,37.03,80.37,43.85,2015,1,,,Ethiopia,2011,Lack of Adaptive Capacities,62.92
Guinea-Bissau,13.78,19.65,70.09,53.24,89.61,67.42,2015,0,,,Algeria,2011,WRI,8.06
Fiji,13.47,27.71,48.63,24.84,75.1,45.93,2015,4,,,Algeria,2011,Exposure,16.51
Japan,13.35,45.91,29.08,17.64,37.88,31.72,2015,2,,,Algeria,2011,Vulnerability,48.8
Vietnam,12.89,25.35,50.87,25.9,76.73,49.98,2015,2,,,Algeria,2011,Susceptibility,22.89
Gambia,12.11,19.29,62.81,44.57,83.21,60.65,2015,0,,,Algeria,2011,Lack of Coping Capabilities,76.36
Jamaica,12.07,25.82,46.75,26.4,72.03,41.81,2015,1,,,Algeria,2011,Lack of Adaptive Capacities,47.14
Haiti,11.93,16.26,73.36,61.67,90.76,67.64,2015,1,,,Angola,2011,WRI,8.02
Guyana,11.61,22.9,50.7,28.97,78.83,44.31,2015,1,,,Angola,2011,Exposure,12.88
Niger,11.41,15.87,71.87,59.04,86.35,70.2,2015,0,,,Angola,2011,Vulnerability,62.28
Benin,11.41,17.06,66.84,53.97,81.44,65.11,2015,0,,,Angola,2011,Susceptibility,53.64
Dominican Rep.,11.34,23.14,49,28.67,73.8,44.53,2015,1,,,Angola,2011,Lack of Coping Capabilities,82.84
Chile,11.2,30.95,36.19,19.69,58.03,30.84,2015,1,,,Angola,2011,Lack of Adaptive Capacities,50.35
Madagascar,11.16,16.03,69.58,65.08,83.69,59.98,2015,0,,,Samoa,2011,WRI,7.88
Cameroon,11.12,18.19,61.13,42.6,84.75,56.05,2015,0,,,Samoa,2011,Exposure,14.95
Chad,11.05,14.89,74.19,61.14,91.14,70.28,2015,0,,,Samoa,2011,Vulnerability,52.69
Senegal,10.89,17.57,62,46.77,80.33,58.9,2015,0,,,Samoa,2011,Susceptibility,30.49
Honduras,10.7,20.01,53.5,35.1,81.39,44,2015,1,,,Samoa,2011,Lack of Coping Capabilities,79.85
Togo,10.59,15.56,68.1,57.97,85.28,61.04,2015,0,,,Samoa,2011,Lack of Adaptive Capacities,47.73
Burundi,10.59,15.13,70.03,63.29,87.75,59.04,2015,0,,,Lesotho,2011,WRI,7.86
Sierra Leone,10.5,14.65,71.67,57.32,85.63,72.05,2015,0,,,Lesotho,2011,Exposure,12.46
Indonesia,10.39,19.36,53.67,31.21,80.28,49.51,2015,2,,,Lesotho,2011,Vulnerability,63.12
Cabo Verde,10.17,20.26,50.19,32.86,70.54,47.18,2015,0,,,Lesotho,2011,Susceptibility,52.04
Albania,10.03,21.25,47.19,20.13,74,47.43,2015,3,,,Lesotho,2011,Lack of Coping Capabilities,83.46
Djibouti,9.94,16.34,60.86,36.34,82.84,63.39,2015,0,,,Lesotho,2011,Lack of Adaptive Capacities,53.86
Zimbabwe,9.88,14.96,66.04,55.76,88.75,53.62,2015,0,,,Sri Lanka,2011,WRI,7.84
Afghanistan,9.55,13.17,72.49,55.77,92.36,69.33,2015,2,,,Sri Lanka,2011,Exposure,15.05
Burkina Faso,9.48,14.32,66.17,54.03,83.83,60.65,2015,0,,,Sri Lanka,2011,Vulnerability,52.14
Côte d'Ivoire,9.06,13.67,66.29,46.81,86.09,65.95,2015,0,,,Sri Lanka,2011,Susceptibility,29.49
Myanmar,9.01,14.87,60.6,34.85,87.15,59.8,2015,2,,,Sri Lanka,2011,Lack of Coping Capabilities,81.02
Mozambique,8.93,12.73,70.16,63.66,84.5,62.32,2015,0,,,Sri Lanka,2011,Lack of Adaptive Capacities,45.91
Mali,8.75,12.55,69.69,54.29,84.34,70.44,2015,0,,,Pakistan,2011,WRI,7.84
Ghana,8.65,14.48,59.72,44.52,77.48,57.15,2015,0,,,Pakistan,2011,Exposure,12.27
Uzbekistan,8.56,16.18,52.94,29.75,77.73,51.36,2015,2,,,Pakistan,2011,Vulnerability,63.84
Guinea,8.5,12.03,70.63,52.72,89.32,69.86,2015,0,,,Pakistan,2011,Susceptibility,40.33
Suriname,8.36,18.12,46.13,27.51,70.85,40.01,2015,1,,,Pakistan,2011,Lack of Coping Capabilities,86.61
Netherlands,8.29,30.57,27.12,15.09,42.47,23.8,2015,3,,,Pakistan,2011,Lack of Adaptive Capacities,64.58
Malawi,8.27,12.34,66.98,60.43,84.03,56.49,2015,0,,,Kenya,2011,WRI,7.82
Kyrgyzstan,8.25,16.63,49.61,26.66,76.08,46.08,2015,2,,,Kenya,2011,Exposure,11.9
Mauritania,8.14,12.47,65.29,48.03,86.2,61.66,2015,0,,,Kenya,2011,Vulnerability,65.75
Nigeria,8.12,12.06,67.39,53.26,87.42,61.51,2015,0,,,Kenya,2011,Susceptibility,54.51
Sudan,8.02,11.86,67.61,51.38,92.89,58.56,2015,0,,,Kenya,2011,Lack of Coping Capabilities,87.6
Tanzania,7.94,12.01,66.11,59.46,83.57,55.3,2015,2,,,Kenya,2011,Lack of Adaptive Capacities,55.14
Liberia,7.89,10.96,71.97,62.32,84.67,68.91,2015,0,,,Congo,2011,WRI,7.71
Bhutan,7.71,14.81,52.07,30.35,74.19,51.68,2015,2,,,Congo,2011,Exposure,12.19
Zambia,7.55,11.37,66.46,62.29,79.97,57.11,2015,0,,,Congo,2011,Vulnerability,63.28
eSwatini,7.55,12.76,59.18,44.84,79.92,52.79,2015,0,,,Congo,2011,Susceptibility,50.98
Algeria,7.53,15.82,47.58,22.63,77.05,43.07,2015,0,,,Congo,2011,Lack of Coping Capabilities,87.39
Trinidad and Tobago,7.48,17.54,42.68,19.74,68.51,39.78,2015,1,,,Congo,2011,Lack of Adaptive Capacities,51.45
Comoros,7.48,10.97,68.19,58.64,84.79,61.14,2015,0,,,Netherlands,2011,WRI,7.71
Ethiopia,7.45,11.12,67.04,56.15,80.04,64.91,2015,0,,,Netherlands,2011,Exposure,29.24
Ecuador,7.44,16.15,46.07,27.99,73.97,36.25,2015,1,,,Netherlands,2011,Vulnerability,26.37
Sri Lanka,7.37,14.79,49.86,25.33,78.23,46.03,2015,2,,,Netherlands,2011,Susceptibility,13.99
Congo,7.35,11.65,63.13,50.98,85.86,52.56,2015,0,,,Netherlands,2011,Lack of Coping Capabilities,38.71
Rwanda,7.32,11.98,61.11,54.09,80.27,48.96,2015,0,,,Netherlands,2011,Lack of Adaptive Capacities,26.42
Panama,7.3,16.45,44.35,27.05,67.18,38.82,2015,1,,,Panama,2011,WRI,7.7
Tajikistan,7.16,12.98,55.15,34.36,76.43,54.64,2015,2,,,Panama,2011,Exposure,17.27
Greece,7.06,21.11,33.45,17.78,50.82,31.75,2015,3,,,Panama,2011,Vulnerability,44.56
Pakistan,7.03,11.36,61.91,36.71,86.5,62.51,2015,2,,,Panama,2011,Susceptibility,30.57
Central African Rep.,7.02,9.39,74.78,63.51,90.35,70.49,2015,0,,,Panama,2011,Lack of Coping Capabilities,67.17
Lesotho,6.97,11.4,61.17,48.5,78.36,56.65,2015,0,,,Panama,2011,Lack of Adaptive Capacities,35.94
Kenya,6.95,10.69,65.03,53.82,85.92,55.35,2015,0,,,India,2011,WRI,7.68
Turkmenistan,6.9,13.19,52.31,27.03,75.96,53.94,2015,2,,,India,2011,Exposure,12.68
Serbia,6.89,18.05,38.18,18.07,65.95,30.51,2015,3,,,India,2011,Vulnerability,60.55
India,6.88,11.94,57.59,36.37,79.75,56.64,2015,2,,,India,2011,Susceptibility,45.3
Peru,6.82,14.4,47.38,28.05,73.38,40.69,2015,1,,,India,2011,Lack of Coping Capabilities,80.11
China,6.8,14.43,47.1,25.27,70.57,45.46,2015,2,,,India,2011,Lack of Adaptive Capacities,56.24
Morocco,6.76,13.25,51,27.48,75.27,50.25,2015,0,,,Uganda,2011,WRI,7.57
Colombia,6.72,13.84,48.57,27.71,74.76,43.25,2015,1,,,Uganda,2011,Exposure,11.68
Uganda,6.63,10.16,65.26,54.32,87.57,53.9,2015,0,,,Uganda,2011,Vulnerability,64.87
Angola,6.62,10.18,65,48.86,85.84,60.31,2015,0,,,Uganda,2011,Susceptibility,54.8
Belize,6.6,13.31,49.6,27.77,74.19,46.83,2015,1,,,Uganda,2011,Lack of Coping Capabilities,86.94
Georgia,6.55,14.69,44.62,24.95,63.77,45.15,2015,2,,,Uganda,2011,Lack of Adaptive Capacities,52.86
Romania,6.5,15.77,41.25,21.73,61.12,40.9,2015,3,,,Tajikistan,2011,WRI,7.47
Malaysia,6.44,14.6,44.1,19.1,67.13,46.07,2015,2,,,Tajikistan,2011,Exposure,13.56
Thailand,6.38,13.7,46.55,19.63,75.14,44.89,2015,2,,,Tajikistan,2011,Vulnerability,55.11
Gabon,6.25,11.95,52.28,33.25,73.72,49.86,2015,0,,,Tajikistan,2011,Susceptibility,37.44
Eritrea,6.23,8.55,72.91,61.59,89.21,67.93,2015,0,,,Tajikistan,2011,Lack of Coping Capabilities,75.62
Mexico,6.23,13.84,45.01,23.72,71.56,39.75,2015,1,,,Tajikistan,2011,Lack of Adaptive Capacities,52.28
Bosnia and Herz.,6.18,14.02,44.06,19.62,69.68,42.88,2015,1,,,eSwatini,2011,WRI,7.37
Armenia,6.18,14.51,42.57,20.65,70.86,36.19,2015,2,,,eSwatini,2011,Exposure,11.98
North Macedonia,6.14,14.38,42.7,20.53,63.85,43.72,2015,3,,,eSwatini,2011,Vulnerability,61.56
Cuba,6.12,17.45,35.09,17.74,56.84,30.69,2015,1,,,eSwatini,2011,Susceptibility,48.56
Yemen,6,9.04,66.32,44.57,90.51,63.89,2015,2,,,eSwatini,2011,Lack of Coping Capabilities,83.1
Azerbaijan,5.98,13.16,45.42,21.84,70.05,44.36,2015,2,,,eSwatini,2011,Lack of Adaptive Capacities,53.02
Venezuela,5.89,13.15,44.8,23.48,74.73,36.18,2015,4,,,Peru,2011,WRI,7.24
Laos,5.67,9.55,59.38,39.52,84.33,54.3,2015,2,,,Peru,2011,Exposure,15.08
Syria,5.59,10.56,52.97,25.89,84.49,48.54,2015,3,,,Peru,2011,Vulnerability,47.99
Namibia,5.59,10.41,53.71,45.8,71,44.32,2015,0,,,Peru,2011,Susceptibility,31.75
Tunisia,5.46,12.45,43.86,20.68,72.92,37.98,2015,0,,,Peru,2011,Lack of Coping Capabilities,74.86
Botswana,5.43,10.55,51.48,36.35,67.64,50.44,2015,0,,,Peru,2011,Lack of Adaptive Capacities,37.36
South Africa,5.43,12.08,44.94,29.63,68.94,36.23,2015,0,,,Eritrea,2011,WRI,7.22
Hungary,5.41,15.61,34.68,16.12,53.13,34.8,2015,3,,,Eritrea,2011,Exposure,9.9
Turkey,5.37,12.25,43.83,20.01,68.36,43.12,2015,2,,,Eritrea,2011,Vulnerability,72.88
Nepal,5.23,9.16,57.09,40.97,80.69,49.62,2015,2,,,Eritrea,2011,Susceptibility,67.17
Lebanon,4.96,11.14,44.5,19.68,70.33,43.5,2015,2,,,Eritrea,2011,Lack of Coping Capabilities,87.68
Moldova,4.88,11.11,43.91,21.82,67.52,42.4,2015,4,,,Eritrea,2011,Lack of Adaptive Capacities,63.79
Iran,4.83,10.19,47.44,19.8,80.66,41.87,2015,2,,,Central African Rep.,2011,WRI,7.18
Bolivia,4.82,8.98,53.66,37.45,79.62,43.91,2015,2,,,Central African Rep.,2011,Exposure,9.91
South Korea,4.79,14.89,32.17,14.53,46.79,35.18,2015,1,,,Central African Rep.,2011,Vulnerability,72.42
Iraq,4.76,8.08,58.87,29.22,88.98,58.42,2015,2,,,Central African Rep.,2011,Susceptibility,63.34
Eq. Guinea,4.69,8.22,57.08,30.48,84.93,55.83,2015,1,,,Central African Rep.,2011,Lack of Coping Capabilities,91.2
Jordan,4.68,10.53,44.44,21.42,68.08,43.82,2015,2,,,Central African Rep.,2011,Lack of Adaptive Capacities,62.72
Italy,4.54,13.85,32.75,17.2,54.92,26.14,2015,3,,,Morocco,2011,WRI,7.17
Ireland,4.46,14.74,30.28,15.53,46.47,28.83,2015,3,,,Morocco,2011,Exposure,13.41
Bulgaria,4.26,11.66,36.51,18.64,55.88,35.02,2015,3,,,Morocco,2011,Vulnerability,53.49
New Zealand,4.23,15.44,27.42,16.57,44.05,21.63,2015,4,,,Morocco,2011,Susceptibility,29.72
Croatia,4.21,11.53,36.55,18.03,55.74,35.88,2015,3,,,Morocco,2011,Lack of Coping Capabilities,77.12
Bahamas,4.21,10.71,39.36,18.84,53.32,45.93,2015,1,,,Morocco,2011,Lack of Adaptive Capacities,53.64
Brazil,4.21,9.53,44.23,24.06,66.25,42.39,2015,1,,,Greece,2011,WRI,7.09
Australia,3.98,15.05,26.48,15.78,42.68,20.98,2015,4,,,Greece,2011,Exposure,20.89
Libya,3.95,7.8,50.64,25.09,76.48,50.35,2015,0,,,Greece,2011,Vulnerability,33.94
Uruguay,3.93,11.1,35.41,20.26,50.71,35.27,2015,1,,,Greece,2011,Susceptibility,16.22
United States of America,3.87,12.25,31.58,16.38,48.71,29.65,2015,3,,,Greece,2011,Lack of Coping Capabilities,53.29
Russia,3.84,9.38,41,21.27,58.91,42.83,2015,3,,,Greece,2011,Lack of Adaptive Capacities,32.32
Kazakhstan,3.67,9.11,40.3,17.62,62.58,40.7,2015,2,,,Djibouti,2011,WRI,7.05
Paraguay,3.65,7.03,51.97,28.74,78.8,48.37,2015,1,,,Djibouti,2011,Exposure,11.14
Argentina,3.62,9.55,37.91,20.32,58.5,34.91,2015,1,,,Djibouti,2011,Vulnerability,63.29
Austria,3.61,13.6,26.53,14.91,37.23,27.47,2015,3,,,Djibouti,2011,Susceptibility,40.08
United Kingdom,3.58,11.6,30.88,17.21,46.8,28.62,2015,2,,,Djibouti,2011,Lack of Coping Capabilities,83.56
Slovenia,3.57,11.59,30.8,14.95,50.98,26.48,2015,3,,,Djibouti,2011,Lack of Adaptive Capacities,66.22
